TripKey,TripNumber,dDate,Recorder,Vessel,TripData.TimeStart,TripData.TimeEnd,Camera,Beaufort,WindDirection,WindSpeed (mph),CloudPer,AirTemp (C),Surface Temp (C),20mTemp (C),Tide,Sightings?,WaveHeight (m),Gen Area,Visibility (km),SightingN,Species,GroupSize,SightingsData.TimeStart,SightingsData.TimeEnd,Latitude,Longitude,Range,Bearing,Comments
597,2,07-Aug-17,Emma Ober,Friendship V,1:00:00 PM,4:00:00 PM,Canon 60D,3,SSW,5,30,15,13.1,0,Ebb,TRUE,1,,,2,La,,2:55:00 PM,3:00:00 PM,44.14,67.83,60,,
551,2,14-Jul-17,Emma Ober,Friendship V,1:00:00 PM,3:30:00 PM,Canon 60D,0,NNE,1,80,14,10.4,0,Flood,TRUE,1,,,,La,,2:00:00 AM,2:03:00 AM,44.19,67.69,,,
555,3,15-Jul-17,Lauri Leach,Friendship V,4:40:00 PM,8:10:00 PM,Canon 60D,1,E,2,25,13.5,10.2,0,Ebb,TRUE,1,,,2,La,25,6:04:00 PM,6:18:00 PM,43.90,68.17,600,120,
559,3,22-Jul-17,Liz Virgl,Atlanticat,5:38:00 PM,7:10:00 PM,Canon 60D,1,SSW,6,60,14.5,12.2,0,Flood,TRUE,0,,,1,La,20,6:26:00 PM,6:43:00 PM,43.89,-67.86,500,100,
570,1,26-Jul-17,Lauri Leach,Atlanticat,8:35:00 AM,12:05:00 PM,Canon 60D,2,NE,3,0,13.6,10.4,0,Flood,TRUE,1,,,1,La,200,10:00:00 AM,,44.07,68.23,800,150,
598,3,07-Aug-17,Emma Ober,Friendship V,4:30:00 PM,7:40:00 PM,Canon 60D,2,SSW,10,40,15.7,12.4,0,Slack,TRUE,1,,,1,La,,5:36:00 PM,5:47:00 PM,44.00,68.13,150,22,
598,3,07-Aug-17,Emma Ober,Friendship V,4:30:00 PM,7:40:00 PM,Canon 60D,2,SSW,10,40,15.7,12.4,0,Slack,TRUE,1,,,2,La,,6:02:00 PM,6:15:00 PM,43.92,68.04,60,240,
599,1,10-Aug-17,Emma Ober,Friendship V,8:30:00 AM,12:15:00 PM,Canon 60D,1,SSW,4,10,14.4,12.6,0,Flood,TRUE,1,,,1,La,30,10:33:00 AM,10:41:00 AM,44.14,67.83,50,55,
603,2,11-Aug-17,Lauri Leach,Atlanticat,1:15:00 PM,4:30:00 PM,Canon 60D,1,SSE,3,70,17.6,13.5,0,Ebb,TRUE,0,,,5,La,5,3:29:00 PM,3:34:00 PM,44.06,67.97,150,300,
606,1,12-Aug-17,Natalie Hunter,Atlanticat,8:30:00 AM,1:30:00 AM,Canon 60D,2,NE,6,100,12.4,11.8,,Slack,TRUE,0,,,1,La,25,10:18:00 AM,10:29:00 AM,44.17,67.66,6,70,
607,1,16-Aug-17,Emma Ober,Atlanticat,8:30:00 AM,12:15:00 PM,Canon 60D,3,WNW,4,10,15.1,12.3,0,Ebb,TRUE,1,,,1,La,70,10:20:00 AM,10:35:00 AM,44.14,67.83,1000,100,
608,2,16-Aug-17,Emma Ober,Atlanticat,1:00:00 PM,3:45:00 PM,Canon 60D,2,WNW,5,40,18,13.6,0,Ebb,TRUE,1,,,2,La,40,2:38:00 PM,2:47:00 PM,44.14,67.83,20,135,
609,3,16-Aug-17,Emma Ober,Atlanticat,4:30:00 PM,8:21:00 PM,Canon 60D,3,WNW,7,30,17.2,13.1,0,Slack,TRUE,1,,,1,La,30,7:00:00 PM,7:30:00 PM,44.14,67.83,200,330,
